geo_code_long,GEO_NAME,year,raceth,racethd,immig,sex,racethdimmigsex,phhnocar_acsglyt,nhhnocar_acsglyt,phhrent_acsglyt,pbaplus_acsglyt,pnhw_acsglyt,pnhb_acsglyt,phis_acsglyt,pnhapi_acsglyt,pnaian_acsglyt,pnhoo_acsglyt,ppoc_acsglyt
04000000000005037,"Cross, AR",2000,All,All,All,All people,All,.0994,735,.2932,.0987,.7439,.2360,.0093,.0028,.0020,.0061,.2561
04000000000005039,"Dallas, AR",2000,All,All,All,All people,All,.1111,391,.2609,.0962,.5638,.4064,.0192,.0023,.0024,.0059,.4362
04000000000005041,"Desha, AR",2000,All,All,All,All people,All,.1824,1080,.3651,.1107,.4961,.4592,.0316,.0032,.0033,.0066,.5039
04000000000005043,"Drew, AR",2000,All,All,All,All people,All,.0851,626,.3113,.1728,.6968,.2708,.0176,.0044,.0024,.0080,.3032
04000000000005045,"Faulkner, AR",2000,All,All,All,All people,All,.0578,1842,.3142,.2521,.8745,.0844,.0175,.0073,.0050,.0112,.1255
04000000000005047,"Franklin, AR",2000,All,All,All,All people,All,.0724,499,.2196,.1105,.9534,.0061,.0174,.0029,.0076,.0125,.0466
04000000000005049,"Fulton, AR",2000,All,All,All,All people,All,.0509,245,.1888,.1048,.9729,.0020,.0053,.0020,.0067,.0112,.0271
04000000000005051,"Garland, AR",2000,All,All,All,All people,All,.0851,3216,.2884,.1797,.8726,.0775,.0256,.0051,.0058,.0134,.1274
04000000000005053,"Grant, AR",2000,All,All,All,All people,All,.0452,281,.1979,.1102,.9513,.0247,.0115,.0016,.0044,.0065,.0487
04000000000005055,"Greene, AR",2000,All,All,All,All people,All,.0709,1046,.2870,.1090,.9682,.0013,.0116,.0017,.0039,.0132,.0318
04000000000005057,"Hempstead, AR",2000,All,All,All,All people,All,.1026,917,.3068,.1094,.5981,.3013,.0825,.0018,.0034,.0128,.4019
04000000000005059,"Hot Spring, AR",2000,All,All,All,All people,All,.0705,846,.2203,.1118,.8663,.1024,.0127,.0023,.0043,.0120,.1337
04000000000005061,"Howard, AR",2000,All,All,All,All people,All,.0920,504,.2799,.1165,.7147,.2176,.0508,.0051,.0040,.0078,.2853
04000000000005063,"Independence, AR",2000,All,All,All,All people,All,.0736,990,.2561,.1372,.9422,.0200,.0153,.0066,.0041,.0119,.0578
04000000000005065,"Izard, AR",2000,All,All,All,All people,All,.0631,343,.1985,.1168,.9587,.0143,.0100,.0012,.0057,.0101,.0413
04000000000005067,"Jackson, AR",2000,All,All,All,All people,All,.0947,661,.3042,.1033,.7995,.1743,.0127,.0018,.0027,.0090,.2005
04000000000005069,"Jefferson, AR",2000,All,All,All,All people,All,.1117,3414,.3386,.1568,.4803,.4939,.0096,.0067,.0023,.0073,.5197
04000000000005071,"Johnson, AR",2000,All,All,All,All people,All,.0748,652,.2700,.1311,.9004,.0133,.0670,.0025,.0056,.0112,.0996
04000000000005073,"Lafayette, AR",2000,All,All,All,All people,All,.1302,447,.2158,.0954,.6148,.3629,.0103,.0023,.0036,.0061,.3852
04000000000005075,"Lawrence, AR",2000,All,All,All,All people,All,.0845,600,.2882,.0848,.9736,.0044,.0068,.0006,.0050,.0096,.0264
04000000000005077,"Lee, AR",2000,All,All,All,All people,All,.1784,746,.3637,.0728,.4033,.5677,.0219,.0025,.0015,.0029,.5967
04000000000005079,"Lincoln, AR",2000,All,All,All,All people,All,.1111,474,.2385,.0765,.6428,.3285,.0181,.0007,.0032,.0067,.3572
04000000000005081,"Little River, AR",2000,All,All,All,All people,All,.0866,473,.2349,.0991,.7384,.2121,.0172,.0021,.0144,.0157,.2616
04000000000005083,"Logan, AR",2000,All,All,All,All people,All,.0742,644,.2279,.0937,.9574,.0105,.0121,.0017,.0061,.0122,.0426
04000000000005085,"Lonoke, AR",2000,All,All,All,All people,All,.0597,1149,.2407,.1456,.9002,.0642,.0175,.0043,.0045,.0093,.0998
04000000000005087,"Madison, AR",2000,All,All,All,All people,All,.0714,390,.2103,.1006,.9452,.0011,.0306,.0012,.0117,.0103,.0548
