fips,pop_estimate,percent_white,percent_black,percent_native_american,percent_asian,percent_nhpi,percent_multi,percent_nonwhite_hispanic
17099,111151,93.60,2.50,0.30,0.80,0.00,0.30,0.02
17101,16457,87.50,8.70,0.30,0.40,0.00,0.80,0.01
17103,34670,90.80,5.20,0.20,0.70,0.10,0.40,0.02
17105,36812,92.80,4.10,0.00,0.70,0.00,0.40,0.01
17107,29488,88.30,6.80,0.10,0.80,0.00,0.60,0.02
17109,31597,90.30,4.90,0.20,2.20,0.10,0.60,0.01
17111,308043,92.40,1.30,0.10,2.70,0.00,0.30,0.02
17113,173231,83.40,8.20,0.20,5.10,0.00,0.30,0.01
17115,107587,78.20,14.00,0.30,1.10,0.00,0.70,0.01
17117,45960,97.00,0.80,0.10,0.40,0.00,0.20,0.00
17119,266153,87.80,8.60,0.20,0.90,0.00,0.30,0.01
17121,38305,92.80,3.40,0.20,0.70,0.00,0.40,0.01
17123,11925,97.10,0.40,0.20,0.30,0.20,0.40,0.01
17125,13904,97.70,0.60,0.10,0.20,0.00,0.40,0.00
17127,14594,90.80,6.10,0.10,0.20,0.00,0.70,0.01
17129,12416,97.10,0.50,0.10,0.30,0.40,0.50,0.00
17131,15794,97.20,0.60,0.10,0.30,0.00,0.30,0.01
17133,33739,97.80,0.40,0.10,0.70,0.00,0.30,0.00
17135,29173,92.00,6.00,0.20,0.10,0.00,0.60,0.01
17137,34442,90.80,6.30,0.20,0.70,0.00,0.50,0.01
17139,14711,98.10,0.60,0.20,0.20,0.00,0.20,0.00
17141,51619,94.40,1.10,0.10,0.50,0.00,0.40,0.03
17143,186145,73.10,17.50,0.30,3.90,0.00,0.50,0.02
17145,21467,88.70,8.70,0.30,0.60,0.00,0.40,0.01
17147,16433,93.50,1.10,0.10,0.40,0.00,1.20,0.00
17149,15930,96.60,1.70,0.20,0.30,0.00,0.50,0.00
17151,4360,91.40,5.10,0.20,1.00,0.00,1.30,0.01
17153,5691,65.50,30.50,0.20,0.30,0.00,1.00,0.00
17155,5771,97.00,0.40,0.00,0.40,0.00,0.40,0.01
17157,32829,87.10,10.60,0.10,0.40,0.00,0.40,0.01
17159,15953,96.50,0.40,0.40,0.70,0.00,0.60,0.01
17161,146205,81.60,10.00,0.30,2.40,0.00,0.50,0.04
17163,264433,64.50,29.90,0.20,1.40,0.00,0.30,0.02
17165,24430,92.70,3.40,0.10,0.70,0.00,0.70,0.01
17167,198134,82.20,12.80,0.10,1.90,0.00,0.30,0.01
17169,7181,93.70,5.50,0.00,0.00,0.00,0.90,0.00
17171,5109,98.20,0.10,0.50,0.10,0.10,0.40,0.00
17173,21906,98.30,0.70,0.20,0.40,0.00,0.20,0.00
17175,5551,97.50,0.70,0.00,0.80,0.00,0.50,0.00
17177,45839,85.90,9.50,0.10,0.80,0.00,0.70,0.01
17179,134695,95.90,1.20,0.10,1.00,0.00,0.20,0.01
17181,17267,94.40,1.00,0.10,0.20,0.00,0.70,0.02
17183,79207,82.60,14.00,0.30,0.90,0.00,0.30,0.01
17185,11568,96.40,0.80,0.10,1.20,0.00,0.70,0.01
17187,17429,89.70,2.80,0.00,2.30,0.00,1.10,0.04
17189,14260,96.80,0.50,0.30,0.40,0.10,0.40,0.01
17191,16569,97.60,0.60,0.30,0.40,0.00,0.40,0.00
17193,14186,98.00,0.40,0.10,0.70,0.10,0.30,0.00
17195,56823,93.30,1.70,0.20,0.60,0.10,0.40,0.03
17197,687727,73.60,11.20,0.20,5.20,0.00,0.20,0.08
17199,67477,91.90,4.10,0.20,1.00,0.00,0.50,0.01
17201,287512,78.90,12.60,0.30,2.50,0.00,0.30,0.04
17203,38942,96.90,0.60,0.10,0.80,0.00,0.40,0.01
18001,35018,96.90,0.90,0.00,0.40,0.00,0.30,0.01
18003,367747,79.50,11.40,0.20,3.50,0.00,0.30,0.02
18005,81024,85.50,1.90,0.20,6.30,0.10,0.40,0.04
18007,8685,97.70,0.90,0.00,0.20,0.00,0.40,0.00
18009,12214,97.40,0.20,0.20,0.50,0.00,0.50,0.00
18011,63013,93.70,1.60,0.20,2.60,0.00,0.50,0.01
18013,15007,96.90,0.50,0.00,0.80,0.00,0.70,0.01
18015,19994,96.30,0.50,0.30,0.10,0.00,0.40,0.02
18017,38248,83.30,1.40,0.40,1.60,0.10,1.10,0.12
18019,114893,88.30,6.70,0.10,0.80,0.00,0.40,0.01
18021,26375,97.40,0.40,0.10,0.30,0.00,0.30,0.00
18023,32455,94.90,0.90,0.20,0.30,0.10,0.30,0.03
18025,10598,97.30,0.20,0.80,0.10,0.00,0.50,0.01
18027,32777,95.20,1.80,0.00,0.20,0.00,0.20,0.02
18029,49564,97.10,0.80,0.20,0.40,0.00,0.30,0.00
18031,26480,96.10,0.70,0.40,1.60,0.00,0.60,0.01
