fips,retail_soda_sales_14_tax_rate,vending_soda_sales_14_tax_rate,retail_chips_pretzels_14_tax_rate,vending_chips_pretzels_14_tax_rate,general_food_tax_rate
13319,0.0,4.0,0.0,4.0,0.0
13321,0.0,4.0,0.0,4.0,0.0
15001,4.0,4.0,4.0,4.0,4.0
15003,4.0,4.0,4.0,4.0,4.0
15005,4.0,4.0,4.0,4.0,4.0
15007,4.0,4.0,4.0,4.0,4.0
15009,4.0,4.0,4.0,4.0,4.0
16001,6.0,6.0,6.0,6.0,6.0
16003,6.0,6.0,6.0,6.0,6.0
16005,6.0,6.0,6.0,6.0,6.0
16007,6.0,6.0,6.0,6.0,6.0
16009,6.0,6.0,6.0,6.0,6.0
16011,6.0,6.0,6.0,6.0,6.0
16013,6.0,6.0,6.0,6.0,6.0
16015,6.0,6.0,6.0,6.0,6.0
16017,6.0,6.0,6.0,6.0,6.0
16019,6.0,6.0,6.0,6.0,6.0
16021,6.0,6.0,6.0,6.0,6.0
16023,6.0,6.0,6.0,6.0,6.0
16025,6.0,6.0,6.0,6.0,6.0
16027,6.0,6.0,6.0,6.0,6.0
16029,6.0,6.0,6.0,6.0,6.0
16031,6.0,6.0,6.0,6.0,6.0
16033,6.0,6.0,6.0,6.0,6.0
16035,6.0,6.0,6.0,6.0,6.0
16037,6.0,6.0,6.0,6.0,6.0
16039,6.0,6.0,6.0,6.0,6.0
16041,6.0,6.0,6.0,6.0,6.0
16043,6.0,6.0,6.0,6.0,6.0
16045,6.0,6.0,6.0,6.0,6.0
16047,6.0,6.0,6.0,6.0,6.0
16049,6.0,6.0,6.0,6.0,6.0
16051,6.0,6.0,6.0,6.0,6.0
16053,6.0,6.0,6.0,6.0,6.0
16055,6.0,6.0,6.0,6.0,6.0
16057,6.0,6.0,6.0,6.0,6.0
16059,6.0,6.0,6.0,6.0,6.0
16061,6.0,6.0,6.0,6.0,6.0
16063,6.0,6.0,6.0,6.0,6.0
16065,6.0,6.0,6.0,6.0,6.0
16067,6.0,6.0,6.0,6.0,6.0
16069,6.0,6.0,6.0,6.0,6.0
